rownames(qlf$table)	logFC	logCPM	F	PValue	q_val
Xkr4	-0.11174503068235786	4.444563000137864	0.40298892748110043	0.5524325383993076	0.6774705025322739
Mrpl15	0.1422695514165334	4.858891158112607	1.3617028778763123	0.29395756251995686	0.4284814489300084
Lypla1	0.3981702310187746	5.417469748203157	8.877681832234819	0.029360159520985907	0.07486888825046423
Tcea1	0.6090523232708577	4.849830471864022	16.994603147522874	0.00842248209568491	0.028336130806555677
Rgs20	1.0265282981321024	5.027103747150338	63.473405846429195	4.184073334432628e-4	0.002844877146936046
Atp6v1h	0.2064672064124874	6.849318277510587	5.35792808033845	0.06650743729398019	0.1411286367250808
Npbwr1	-1.686463342780084	1.415959614341367	38.891941502793784	0.0013460474946366031	0.006869392366786734
Rb1cc1	-0.026265648277320485	5.588412233758186	0.06167162348164891	0.813384872323852	0.8798702444964103
St18	-1.2447319803840402	1.880001904798291	8.6269266293411615	0.030872639121391852	0.07779444795618916
Pcmtd1	0.7587281510620324	6.062187093102503	57.01172635548265	5.426136473439692e-4	0.003448591073985953
Sntg1	0.011276285710899682	1.1783569674245091	0.002535234091713983	0.9617199638948246	0.976772490080775
Rrs1	-0.04339205431225516	4.69560610359858	0.12195569508574161	0.7406234673301075	0.8269923105689483
Adhfe1	0.44951666526180256	1.0424476858692149	3.6547089244958397	0.11191182761248653	0.20911186245784252
Mybl1	-0.7619163075147125	2.0369463452407532	12.488029132138	0.015619663715438674	0.04598367489115323
Vcpip1	0.2380236066380462	5.678275477943521	4.271943292815673	0.09145741254477699	0.1790009773532136
Sgk3	0.715844617648307	7.144427670706155	61.09771812231726	4.589905474661561e-4	0.003054937108708714
6030422M02Rik	0.27989257441765	1.0103635269884774	0.8798253161419569	0.38974499363531645	0.5283711791873373
Snhg6	0.35281342427489587	4.802446640443855	3.6631584980795773	0.11158968936716897	0.20858512677719407
Cops5	0.04191808903372153	6.110591939941661	0.10356244790725733	0.7601330854538579	0.8420052342789208
Cspp1	0.369245522858571	5.665286880356245	13.796461637926436	0.012851284845410536	0.03951700204590347
Arfgef1	0.18051071911544136	7.7667618270763334	2.5786159574170333	0.1669864444695764	0.28190633063748916
Prex2	-0.7453182835355263	2.390364252043262	11.889253591605195	0.017167292561603542	0.049451686421696735
