rownames(qlf$table)	logFC	logCPM	F	PValue	q_val
0610005C13Rik	-0.2504465351985281	1.5530695249839606	0.13814677702068504	0.7166132640371567	0.8412370463569465
0610009B22Rik	0.24892429269899502	5.1416342987069115	1.4158696571668095	0.25710453244564063	0.46016576759395206
0610009L18Rik	0.7816658418457714	1.659586261893382	1.716125790660189	0.2147268918376572	0.41231465436262915
0610009O20Rik	0.14552504470791727	5.171610592632347	0.541855900114821	0.47581486455299216	0.667478881889292
0610010F05Rik	0.5849039678650194	5.854816345195094	7.01200622925224	0.02126378701549213	0.08369299446718616
0610012G03Rik	0.05762689277975531	5.151874512569928	0.05474346260181086	0.8189516772015792	0.9010770669801592
0610025J13Rik	1.8272009821468889	1.4529237517857319	6.582903564356271	0.024747505474681165	0.09336366376873402
0610030E20Rik	0.252387928738987	5.367952600226736	1.3757600437099864	0.263592483059723	0.46760988132144776
0610037L13Rik	-0.08262637791883456	5.342022334579427	0.11996028801792001	0.7350775038037087	0.8503658173072929
0610040B10Rik	0.9174574430597926	2.651658023156928	3.5794491268205983	0.08288223632745075	0.21821757923026575
0610040J01Rik	-0.3172935063639202	2.098458814101958	0.3590148342657423	0.5602012307146067	0.7355636196058888
0610043K17Rik	0.6039978800901123	2.1423339342780716	1.5982341889018428	0.2301688382885443	0.4297091137070069
1110002E22Rik	0.9982969500810475	4.323175732176564	16.360099803249604	0.0016270275397039355	0.012552737289074377
1110002J07Rik	1.3222563514053176	2.5979205636064555	6.776701186694862	0.0230962970051382	0.08879703329920195
1110002L01Rik	0.7201882290673496	2.388833007217834	2.3234086719761353	0.15336424418304023	0.33162718177147865
1110004E09Rik	-1.0104195623923997	5.269008460042463	10.88042512015788	0.006361491810361384	0.03458270890601873
1110004F10Rik	0.11754078452816198	6.814824427776422	0.5693477365134336	0.46507567574470987	0.6587637685809744
1110008F13Rik	0.08006012028914082	3.6869534870628904	0.035129953572591445	0.8544568276752893	0.9214258194939753
1110008L16Rik	0.9243790523198829	5.544811906501603	22.44253868890531	4.83044733231087e-4	0.005159958655383658
1110008P14Rik	0.06664044866980258	4.358811649008456	0.05611983174433465	0.8167348957197738	0.8999109875480387
1110012L19Rik	-0.1837501112710246	4.2733190275583	0.46690144755076785	0.5074009487775543	0.6937511851799986
1110017D15Rik	-4.402361580990091	2.406327752899634	42.83689445705785	2.755579851831046e-5	7.050284385418691e-4
1110019D14Rik	-0.5173631342359872	1.0352624732716116	0.5111606541927513	0.48831990180527074	0.6775315842156048
1110032A03Rik	0.45833979492852656	5.216236244416867	4.868893415688989	0.04758353614380575	0.14858614839550996
1110032F04Rik	0.8799036930664477	2.518960062630296	3.3765030320854286	0.09101846499198446	0.23279175348331185
1110034G24Rik	0.25318137582851247	3.563899673264823	0.5449425994349362	0.47458804772078655	0.6663623471859285
1110038B12Rik	-0.08971180292458088	4.981327976219272	0.13140879184986431	0.7232828211248827	0.8447021731499765
1110038F14Rik	0.2314359507927014	5.4895900098345765	1.0118755030419004	0.3343165051792414	0.542699828249929
1110046J04Rik	0.6590607227485068	2.6683430586179098	2.114049112827018	0.17161448656009995	0.356978835602264
1110051M20Rik	-0.01776418147745687	5.125173413282453	0.0034682106330379877	0.9540083157583681	0.9781174969541748
1110059E24Rik	-0.21071089834604173	4.961659602961167	0.7593176430819473	0.4006477626853614	0.6046484323286098
1110059G10Rik	-0.29285130570819207	3.8521973694040725	1.0332678694954445	0.3294587237618942	0.5380627751503066
1110065P20Rik	0.6338296625419068	3.0429848904663315	1.5659377531822765	0.2346544072907301	0.4347492248134608
1190002N15Rik	-0.356776798595611	2.541118618564543	0.4599363192336297	0.5105259379013503	0.6957160065014371
1190005I06Rik	0.07039747234768656	1.3698404716678665	0.015354224604476977	0.903437130526807	0.9500313690120475
1190007I07Rik	-1.9573900705779401	2.2718558348488087	11.352526449942621	0.0055802868493777524	0.03153547926315614
1300002E11Rik	0.2858880300796171	4.5546249934586704	1.1881265790675364	0.2971221412575509	0.5053338186735853
1300014J16Rik	-0.15966333242532138	1.871962041709757	0.035840312639743147	0.8530114106927627	0.9211921428192044
1300017J02Rik	1.3204837921803603	5.196079163707772	45.59006823133309	2.042721343093786e-5	5.934741513827239e-4
1500002C15Rik	0.14402469508617546	1.7596639643269063	0.05390736479740642	0.8203127335344591	0.9017755295950883
1500004A13Rik	0.5531633298238243	1.5199477354136093	1.0493558433952013	0.32587221389179244	0.53473786375975
1500009L16Rik	-0.5728147184768871	3.709207514142723	2.0165145930342243	0.18106295205429157	0.3697954948419244
1500011B03Rik	0.2620690227272796	3.5501828931668746	0.5251067569835712	0.482568383096022	0.6729322616610574
1500011K16Rik	0.24385942431333965	3.821314543476119	0.43815331586909456	0.5205300160299904	0.7044310843282741
1500015A07Rik	0.361939759813978	2.6506729057242047	0.5855553106458606	0.45893568568294574	0.6541215977047515
1500015O10Rik	-2.3861992343150438	2.0945077689878406	9.62950290870856	0.009141032771893676	0.0451445214385272
1520401A03Rik	-1.35300152678958	4.012436278277211	18.294989868449562	0.0010753028868994475	0.009200393578687129
1600002K03Rik	0.49155637981511885	4.355497011849191	3.3272585926055416	0.0931379900368903	0.23639166975283052
1600012H06Rik	0.16781221153998793	5.853699419726473	0.756327305110663	0.4015491928569992	0.6054919055409295
1600012P17Rik	0.2540242374644422	4.856269870318516	0.3202654909854766	0.581881296868703	0.7512316279179814
1600014C10Rik	9.624794845072027e-5	5.97584499170129	3.0565804789914375e-7	0.9995679675676883	0.9997570409537352
