gene	SRR2038194	SRR2038195	SRR2038196	SRR2038197
Olfr390	0	0	0	0
Olfr391-ps	1	0	0	0
Olfr392	0	0	0	0
Olfr393	0	1	0	0
Olfr394	1	2	0	0
Olfr395	4	4	0	0
Olfr23	1	2	0	0
Olfr397	0	1	0	0
Olfr398	4	10	0	0
Olfr139	3	6	0	0
Olfr399	1	0	0	0
Zfp616	5	6	0	0
Olfr401	0	0	0	0
Olfr402	2	4	0	0
Olfr403	0	0	0	0
Olfr43	12	15	0	0
Olfr406-ps	6	5	0	0
Olfr59	2	4	0	0
Olfr410	0	1	0	0
Olfr411	10	12	0	0
Olfr412	0	1	0	0
Rap1gap2	1559	2388	719	498
E130309D14Rik	116	207	48	51
1300001I01Rik	2135	3125	2238	1399
Pafah1b1	4468	5894	6620	3369
Mettl16	603	861	729	471
Mnt	1461	1383	1941	744
Sgsm2	330	395	292	153
Tsr1	689	790	817	411
Snord91a	5	6	1	0
Srr	234	398	325	237
Smg6	949	1381	1158	694
Hic1	58	120	52	94
Mir212	0	1	3	1
Mir132	2	1	1	0
Ovca2	185	352	274	188
Dph1	126	194	118	88
Rtn4rl1	499	992	760	617
Rpa1	1379	1830	1539	928
Smyd4	132	224	127	87
Serpinf1	146	214	139	82
Serpinf2	19	37	6	4
Wdr81	572	1140	761	659
2210403K04Rik	593	466	753	271
Mir22	0	0	0	0
Tlcd2	341	730	388	266
Prpf8	9186	12105	12234	7117
Rilp	26	47	15	17
Scarf1	45	80	8	7
Slc43a2	1162	2981	858	846
Mir3971	0	0	0	0
Pitpna	2030	2979	2471	1331
Inpp5k	925	1425	1286	845
Myo1c	2910	3717	3148	1445
Crk	1947	2812	2408	1322
Ywhae	14006	17722	18986	9973
Doc2b	131	228	28	31
Rph3al	278	273	387	172
1700016K19Rik	100	172	102	41
Fam101b	151	197	159	73
Vps53	1353	2001	1979	1146
Fam57a	245	368	268	143
Gemin4	310	672	550	447
Dbil5	83	69	112	64
Glod4	1713	2343	2893	1853
Rnmtl1	113	176	140	103
Nxn	1502	2291	2601	1594
Timm22	417	600	588	373
Abr	4357	7968	6217	4389
Bhlha9	50	81	1	1
Tusc5	79	113	14	7
Gosr1	1108	1882	1574	1004
Cpd	5954	8667	10956	6193
Tmigd1	325	603	75	90
Blmh	1526	2250	1797	1112
Slc6a4	4750	7179	7466	4625
Ccdc55	650	974	971	552
Mir423	1	2	1	0
Efcab5	55	102	42	30
Ssh2	869	1118	1371	657
Coro6	46	105	10	5
Ankrd13b	528	898	696	397
Git1	2068	2603	2481	1326
Trp53i13	263	354	434	217
Abhd15	169	295	523	264
Taok1	2668	2845	3319	1416
Nufip2	2798	2811	3112	1381
Cryba1	79	106	2	0
Myo18a	6694	8943	9089	5009
Pipox	147	246	72	88
Gm11190	13	34	6	6
Sez6	934	1520	657	486
Phf12	1511	2316	1914	1164
Dhrs13	300	382	320	140
Flot2	1288	1580	1798	920
Mir144	1	0	0	0
Mir451	1	0	0	0
Eral1	323	595	550	347
BC017647	490	1069	783	583
Traf4	1830	1778	3296	1219
Nek8	1102	1482	2158	1123
Tlcd1	480	744	573	346
Rpl23a	53	62	78	38
Snord42a	4	18	12	7
Snord4a	11	15	16	9
Snord42b	13	18	17	7
Rab34	270	324	284	132
Proca1	28	36	20	6
Supt6h	6743	7235	9081	4119
Sdf2	1410	1972	2204	1159
2610507B11Rik	5256	7694	7160	4067
Spag5	994	1325	984	696
Aldoc	202	337	101	75
Pigs	999	1733	1554	966
Unc119	215	289	221	162
Foxn1	5317	9057	8424	5794
Gm11194	822	2182	1802	1531
Slc13a2	292	984	474	603
Slc46a1	127	208	78	70
Sarm1	141	277	86	66
Vtn	40	60	6	3
Sebox	45	46	0	1
Tmem199	602	1031	1053	713
Poldip2	864	1196	1103	663
Tnfaip1	1757	2196	2186	1199
Ift20	703	1029	966	562
Tmem97	158	221	178	123
Nlk	1022	1763	2007	1338
Fam58b	241	383	295	191
1810012P15Rik	351	711	456	385
Nos2	11381	23550	22339	15173
Lgals9	1569	2436	1238	737
Ksr1	4084	5838	9296	5011
Gm11201	132	226	230	142
Wsb1	2257	1766	2196	808
Nf1	1489	1652	1411	683
AU040972	14	32	18	9
Omg	58	53	2	1
Evi2b	63	77	106	55
Evi2a	47	55	18	12
Rab11fip4	2087	2550	3547	1865
Gm11202	10	19	15	6
4930542H20Rik	2	10	2	0
Mir193	0	0	0	0
Mir365-2	1	1	0	0
Utp6	1441	2048	1655	991
Suz12	1521	1785	1974	980
Crlf3	803	836	1083	477
Atad5	425	466	476	248
1110002N22Rik	144	282	229	158
Adap2	87	98	26	13
Rnf135	211	546	270	221
Rhot1	1374	1867	1823	966
Rhbdl3	1228	2215	1849	1283
5730455P16Rik	435	669	528	393
Zfp207	3602	5151	4669	2780
Psmd11	1244	1845	1743	989
Cdk5r1	1196	690	1444	338
Myo1d	1218	1776	1221	627
Tmem98	1127	1249	1561	842
Spaca3	36	58	0	1
Accn1	64	93	6	1
1700071K01Rik	2	0	1	0
5530401A14Rik	4	8	0	0
Ccl2	626	848	230	156
Ccl7	170	289	98	61
Ccl11	245	461	114	39
Ccl12	33	78	8	0
Ccl8	322	751	41	13
Ccl1	330	463	3	4
Tmem132e	80	180	2	2
Gm11426	2	6	0	1
Cct6b	20	23	7	11
Mir1928	0	0	2	0
Zfp830	403	556	629	334
Lig3	1015	1655	1127	749
Rffl	447	761	825	490
Rad51l3	678	1159	1097	737
Fndc8	72	114	144	67
Nle1	312	317	318	186
Unc45b	148	176	30	17
1700003F17Rik	0	0	0	0
Slfn5	553	667	206	34
Slfn9	188	258	134	104
Slfn8	92	167	79	49
Slfn10-ps	82	109	142	73
Slfn2	901	1139	742	262
Slfn1	74	102	27	5
Slfn4	100	265	2	4
Slfn3	5	12	7	1
AI662270	49	52	28	4
Slfn14-ps	7	8	0	1
AA465934	17	14	20	9
AI450353	18	24	27	6
Snord7	0	0	0	0
Pex12	244	417	334	204
Ap2b1	3346	5276	4915	3138
Rasl10b	177	305	246	122
Gas2l2	64	82	4	1
1700020L24Rik	43	84	20	18
Mmp28	69	167	46	52
Taf15	2540	3134	3294	1689
Gm11435	24	32	19	7
Ccl5	2753	5303	866	556
Ccl9	1134	2147	346	355
E230016K23Rik	203	331	245	197
Ccl6	263	629	108	102
Ccl3	51	101	16	5
Ccl4	43	42	20	4
Gm11428	408	727	164	110
Expi	4646	6601	3394	1821
1100001G20Rik	508	1011	196	110
Heatr6	769	1442	1060	703
Hnf1b	73	149	25	30
Ddx52	1111	1307	1396	761
Synrg	1070	1674	1514	833
Dusp14	850	1063	830	309
Tada2a	208	348	179	136
Gm11437	21	46	13	11
Acaca	579	908	347	159
Aatf	540	756	641	383
Lhx1	131	133	10	15
1500016L03Rik	13	32	7	1
1700109G15Rik	7	10	0	0
Mrm1	189	339	223	140
Dhrs11	322	479	336	212
4930502E09Rik	3	3	9	4
Ggnbp2	1715	2495	2485	1381
Pigw	103	222	129	113
Myo19	415	767	364	245
Znhit3	169	238	218	109
Car4	839	1509	24	22
Usp32	1328	1936	1923	1095
1700125H20Rik	33	37	6	3
Appbp2	2025	2420	3119	1536
D630032N06Rik	49	66	127	58
Ppm1d	694	867	1120	515
Bcas3	781	1122	1011	550
8430403D17Rik	2	1	1	0
9530048J24Rik	4	6	1	0
Tbx2	68	83	28	8
Tbx4	95	134	1	0
LOC629393	2	2	1	0
Brip1	210	273	116	76
Ints2	647	933	767	435
Med13	4720	5278	5463	2342
Mir467c	2	0	0	2
Rnft1	411	620	548	304
Rps6kb1	994	1462	1274	733
Tubd1	156	267	205	173
Vmp1	2160	3000	2331	1308
Mir21	0	0	0	0
Ptrh2	311	391	319	202
Cltc	21041	27047	33362	16675
Dhx40	995	1240	1418	729
Ypel2	785	1262	1330	845
Gdpd1	1412	2265	2274	1264
1200011M11Rik	1126	1312	1979	1016
Prr11	939	1120	1802	804
Fam33a	192	411	301	232
Mir301	0	2	1	0
Trim37	2819	3874	4059	2324
Ppm1e	173	271	90	43
Rad51c	76	102	51	33
Tex14	960	1440	985	766
4-Sep	199	299	79	55
Mtmr4	4295	6197	6455	3535
Hsf5	33	44	6	5
Rnf43	1081	2135	2058	1609
1110028F11Rik	17	33	26	26
Supt4h1	744	823	1327	705
Mir142	53	69	170	56
Bzrap1	5872	8033	8651	5369
Mpo	2019	3401	174	41
Lpo	10114	13629	11935	5967
Mks1	389	683	452	286
Epx	1385	2163	119	71
Olfr462	4	3	0	1
Olfr463	8	4	0	0
Olfr464	40	53	1	0
Dynll2	3449	5478	4632	2793
Srsf1	4002	6743	5024	3438
Vezf1	1246	1667	1776	962
2210416O15Rik	1	0	6	0
Cuedc1	437	793	610	401
Mrps23	654	1095	969	523
1700106J16Rik	2	11	1	0
Msi2	2893	3533	6463	3323
Mir378b	11	4	32	8
C030037D09Rik	35	53	72	39
Akap1	776	1383	623	468
4930405P13Rik	12	4	10	3
Scpep1	2128	2944	3928	2245
Gm15698	130	185	4	0
2210409E12Rik	112	156	10	10
Coil	272	513	254	203
Trim25	2544	4390	1830	1028
Dgke	533	587	618	293
Gm525	24	25	10	0
Nog	24	37	0	0
4932411E22Rik	61	101	31	27
Ankfn1	126	130	43	32
Pctp	67	141	76	56
Tmem100	34	42	30	9
Mmd	221	430	303	230
Hlf	85	156	66	43
Stxbp4	304	460	350	219
Cox11	319	359	382	157
Tom1l1	644	907	931	523
4930405D11Rik	6	2	0	0
Kif2b	4	2	6	4
Car10	78	82	23	12
Utp18	1056	1182	1220	618
Mbtd1	943	995	1098	437
Nme2	2374	2453	3053	1395
Nme1	2025	2348	2518	1345
Spag9	2870	3459	3604	1853
Tob1	3554	5456	3335	1881
Wfikkn2	1828	2303	2274	1014
Luc7l3	1610	2761	1761	1297
Ankrd40	1655	2491	2673	1656
Abcc3	830	1766	715	641
Cacna1g	496	606	298	173
Spata20	21	63	0	0
Epn3	387	606	206	93
Mycbpap	110	209	84	74
Rsad1	311	504	269	178
Acsf2	151	323	62	59
Chad	129	182	37	17
Lrrc59	4258	5231	5621	2865
Eme1	82	177	75	66
Mrpl27	293	463	392	192
Xylt2	185	311	213	134
Gm11541	5	19	2	1
Gm11545	686	1433	500	431
Tmem92	416	461	4	3
Gm11544	210	386	2	0
Col1a1	2883	4911	152	47
Sgca	86	140	15	13
Hils1	17	37	1	9
Ppp1r9b	3270	5117	4519	2840
Samd14	2680	3579	3476	1890
Pdk2	351	623	453	296
Itga3	6821	9748	10710	6421
Dlx3	769	1076	270	222
Dlx4	24	43	11	11
A730090H04Rik	69	113	37	24
Tac4	415	621	989	792
Myst2	2723	3237	3944	1951
Fam117a	694	1240	1286	1026
Slc35b1	1825	2762	2605	1568
Spop	4990	6932	9571	5040
Nxph3	113	196	127	130
Ngfr	597	971	246	200
Phb	421	519	563	354
1110035M17Rik	6	6	5	2
B130006D01Rik	3	2	7	1
Zfp652	497	668	1072	585
Phospho1	21	31	10	11
Abi3	101	85	124	48
Gngt2	62	80	48	17
4833417C18Rik	54	74	142	71
B4galnt2	355	598	864	522
Igf2bp1	266	244	78	52
Mir3063	0	0	0	0
Gip	604	1038	9	5
Snf8	825	1202	1270	805
Ube2z	4360	5885	7615	4267
Atp5g1	124	145	167	54
Calcoco2	116	176	5	1
Ttll6	483	907	150	103
Hoxb13	290	342	6	1
Gm53	113	135	5	2
Mir196a-1	12	14	1	0
Hoxb9	387	556	49	29
Hoxb8	112	214	16	12
Hoxb7	11	25	1	0
Hoxb6	62	128	4	9
Hoxb5	10	25	2	5
Mir10a	0	0	0	0
Hoxb4	49	138	25	23
Hoxb3	118	170	35	25
Hoxb2	62	85	19	18
Hoxb1	26	36	1	0
Gm11529	2	3	0	0
Skap1	96	100	111	27
Snx11	3115	4576	5707	3345
Cbx1	1008	1331	1399	841
Gm11517	51	52	97	44
Nfe2l1	14775	19784	24379	12746
Copz2	237	398	364	256
Mir152	0	1	1	0
Cdk5rap3	1100	1479	1520	890
Prr15l	173	507	206	270
Pnpo	379	852	668	550
D030028A08Rik	73	131	80	50
Sp2	1016	1033	1810	803
Sp6	1805	3544	354	266
Scrn2	412	579	609	362
Lrrc46	50	140	73	50
Mrpl10	937	1477	1318	869
Osbpl7	556	967	868	565
Tbx21	1767	3278	2755	2379
Tbkbp1	798	1430	1625	1119
Kpnb1	7849	9508	10336	5740
Npepps	2224	3638	3593	2256
Mrpl45	1059	1515	1666	1079
Gpr179	722	1085	337	275
Socs7	1299	1413	1570	882
Arhgap23	635	658	425	192
Srcin1	564	767	247	113
2410003L11Rik	31	63	15	11
E130012A19Rik	633	799	551	211
Mllt6	1777	2815	2291	1423
Cisd3	221	372	347	237
Pcgf2	448	659	577	339
Psmb3	677	903	959	631
Pip4k2b	284	501	368	270
Cwc25	781	780	1079	455
1700001P01Rik	7	10	9	7
Rpl23	1613	2194	2326	1577
Snora21	7	6	7	0
Lasp1	10511	16166	15864	9991
B230217C12Rik	295	365	455	256
Fbxo47	31	34	40	21
Plxdc1	218	258	144	55
Arl5c	524	685	862	333
Cacnb1	279	589	328	208
Rpl19	57	62	64	27
Stac2	182	285	16	4
Fbxl20	1000	1619	1394	972
Med1	2229	2371	2878	1219
Cdk12	2327	2347	2737	1288
Mir5119	2	1	2	1
Neurod2	312	339	8	4
Ppp1r1b	440	637	231	129
1700003D09Rik	5	15	5	2
Stard3	536	859	764	440
Tcap	18	41	3	4
Pnmt	315	391	25	12
Pgap3	580	942	1006	625
Erbb2	4764	6494	8219	4362
1810046J19Rik	1413	2169	2197	1282
Grb7	2392	4051	3188	2199
Ikzf3	231	222	207	98
Zpbp2	4	3	5	0
Ormdl3	417	684	524	403
Gm12	3	5	0	1
Gsdma3	545	1002	1041	692
Gsdma2	355	604	5	2
Gsdma	663	1328	87	92
Psmd3	3730	4994	5111	2869
Csf3	46	26	33	1
Med24	1077	1816	1521	922
Thra	121	202	131	90
Nr1d1	1685	1199	3952	1218
Msl1	863	1536	978	729
Gm12359	25	36	25	25
Casc3	3662	3653	5388	2348
Rapgefl1	190	371	87	74
Wipf2	1250	1869	1611	1026
Cdc6	104	212	94	86
Rara	2429	3095	3599	1351
Gjd3	125	148	0	1
Top2a	4789	6064	4606	3390
Igfbp4	553	754	531	375
Tns4	250	276	61	36
Ccr7	3985	2993	8936	2255
Smarce1	882	1148	1210	642
Krt222	757	1067	1204	732
Krt24	509	812	284	233
Krt25	236	407	123	58
Krt26	35	69	2	2
Krt27	75	131	1	1
Krt28	51	90	4	3
Krt10	1074	2285	342	306
Krt12	598	733	82	31
Krt20	3053	4588	1938	1314
Krt23	1028	1474	295	184
Krt39	37	94	1	1
Krt40	17	43	1	0
Krtap3-3	15	32	1	0
Krtap3-2	0	2	1	0
Krtap3-1	20	32	0	0
Krtap1-5	2	1	0	0
Krtap1-4	2	1	0	0
Krtap1-3	1	5	0	0
Krtap9-3	3	5	0	0
Gm11938	2	3	0	0
Gm11937	1	0	0	0
Krtap2-4	1	3	0	0
Gm11562	7	9	0	0
Krtap4-1	0	0	0	0
Krtap4-2	0	3	0	0
Krtap4-7	1	1	0	0
Gm11563	0	0	0	0
Krtap4-6	1	0	0	0
Gm11595	1	1	0	0
Krtap4-8	0	0	0	0
Krtap4-9	0	0	0	0
Gm11596	0	0	0	0
Gm11554	0	0	0	0
Gm11569	0	0	0	0
Krtap4-13	0	0	0	0
Gm11564	0	0	0	0
2300003K06Rik	1	0	0	0
Krtap4-16	4	1	1	0
Gm11568	0	0	0	0
Gm11559	1	0	0	0
Krtap9-1	0	0	0	0
Gm11567	1	1	0	0
Krtap31-1	1	5	0	0
Gm11565	4	6	0	0
Krtap31-2	0	2	0	0
Krtap9-5	2	1	0	0
Gm11570	12	9	0	0
Krtap17-1	27	58	0	0
Krt33a	81	180	1	4
Krt33b	139	196	37	24
Krt34	31	46	0	0
Krt31	19	30	0	0
Krt32	35	62	1	0
Krt35	64	86	2	0
Krt36	193	291	3	0
Krt13	967	1930	11	2
Krt15	683	1119	91	91
Krt19	1273	2555	192	158
Krt9	2536	4356	1184	651
Krt14	5485	6285	7711	2774
Krt16	1293	1860	700	303
Krt17	44131	50601	59224	23329
Krt42	497	690	143	74
Eif1	3742	4324	5704	2602
Gast	218	297	11	7
Hap1	2199	2983	2567	1707
Jup	5883	10030	5133	3192
Leprel4	93	122	59	25
Fkbp10	77	99	29	28
Nt5c3l	480	619	653	371
Klhl10	18	47	21	9
Klhl11	409	386	414	170
Acly	4755	7923	6373	4822
Ttc25	109	209	142	84
Cnp	8864	12405	22810	13363
Dnajc7	3082	4371	4447	2790
Nkiras2	347	472	444	231
Zfp385c	160	216	7	0
Dhx58	1071	1810	1269	959
Kat2a	2396	3300	3656	2454
Hspb9	25	22	44	30
Rab5c	7384	9384	12450	6586
Kcnh4	238	291	592	328
Hcrt	18	20	7	2
Ghdc	504	861	1127	670
Stat5b	2891	4380	6780	4329
Stat5a	8996	12753	15450	9328
Stat3	24086	26899	40068	21166
Ptrf	1925	2955	3598	2329
Atp6v0a1	12361	18683	17545	9820
Naglu	286	489	344	256
Hsd17b1	18	29	3	5
Coasy	702	1215	1142	715
Mlx	759	1205	1046	640
Psmc3ip	138	192	213	145
Fam134c	2194	3413	3206	1906
Tubg1	677	1043	942	615
Tubg2	37	73	53	41
Plekhh3	457	961	715	525
Ccr10	380	559	509	259
Cntnap1	4384	7012	6445	4079
Ezh1	884	1684	1167	837
Ramp2	94	129	12	1
Vps25	1511	2290	2236	1404
Wnk4	242	362	101	107
Ccdc56	799	1304	1313	857
Cntd1	49	62	29	7
Becn1	2480	3434	3683	2139
Psme3	4374	5316	5861	3046
Aoc2	378	533	437	246
Aoc3	80	68	26	3
G6pc	154	251	10	17
Aarsd1	557	787	821	519
1700113I22Rik	70	91	74	53
Rundc1	767	1069	1127	570
Rpl27	78	74	122	43
Ifi35	2925	3832	4878	2791
Vat1	693	919	913	521
Rnd2	69	106	64	23
Brca1	945	1160	1071	541
Nbr1	3663	5519	4696	2798
Tmem106a	1033	1888	1087	745
LOC666331	3	5	0	0
Rdm1	668	1267	463	291
Arl4d	369	533	133	157
Dhx8	1137	1756	1613	1021
Etv4	341	391	39	29
Meox1	452	804	384	239
4930417O22Rik	9	10	0	0
Sost	598	707	29	39
Dusp3	228	252	234	96
1700006E09Rik	6	1	0	0
Mpp3	147	236	166	119
Cd300lg	93	81	12	0
Mpp2	272	337	19	7
Ppy	479	910	4	1
Pyy	1098	2284	45	21
Nags	50	83	0	1
Tmem101	210	396	311	209
Lsm12	383	384	578	244
G6pc3	634	976	781	532
Hdac5	778	1084	616	204
BC030867	86	158	68	48
Asb16	12	21	2	0
Tmub2	1137	1737	1763	1043
Atxn7l3	1455	1955	1621	927
Ubtf	2462	4165	3075	1987
Slc4a1	344	498	5	5
Rundc3a	185	381	166	113
Slc25a39	748	1091	935	602
Grn	894	1926	967	633
Fam171a2	55	83	28	10
Itga2b	116	236	24	14
Gpatch8	1380	1997	1928	1148
Gm11627	12	11	1	0
Fzd2	162	226	172	112
2810433D01Rik	4	5	1	0
Gm1564	22	27	3	2
Ccdc43	376	618	460	287
Adam11	2710	3653	5598	3160
Gjc1	97	146	87	39
Higd1b	30	52	0	0
Eftud2	2561	3587	3473	2099
Ccdc103	21	31	26	7
Fam187a	1	2	0	0
Gfap	251	396	8	6
Kif18b	359	497	354	270
C1ql1	69	58	38	27
2410004I01Rik	8	26	2	0
Dcakd	743	1056	889	527
Nmt1	4993	6102	9170	4694
Plcd3	95	110	317	170
Acbd4	862	1380	960	552
Hexim1	1783	2589	1232	826
Hexim2	95	139	155	98
Fmnl1	577	671	374	165
1700023F06Rik	39	47	70	30
4933400C05Rik	18	9	0	2
Map3k14	3605	6164	6692	4703
Arhgap27	1879	3694	2172	1565
Gm11648	27	48	20	30
Plekhm1	907	1250	1397	701
Gm884	4	17	2	0
Lyzl6	7	12	0	0
Rprml	54	82	9	5
Gosr2	2161	3121	3313	1842
Wnt9b	408	363	307	63
Wnt3	273	402	344	165
Nsf	1181	1911	1351	968
Arf2	576	683	605	297
Crhr1	311	525	17	12
4933407P14Rik	23	21	0	0
Mapt	189	414	47	34
1700081L11Rik	2021	2797	3105	1556
Cdc27	1691	1590	1767	780
Myl4	313	377	38	21
Itgb3	1118	1477	1515	809
Efcab3	325	694	19	23
Mettl2	371	511	446	265
1700052K11Rik	127	192	148	93
Tlk2	1231	1410	1504	735
Mrc2	337	594	32	9
10-Mar	20	46	14	5
Tanc2	975	1308	782	267
Cyb561	1504	2235	1489	791
Ace	776	1340	34	15
Ace3	46	79	22	21
Kcnh6	3245	5816	6186	4005
Dcaf7	2540	3812	3405	2095
Taco1	182	430	259	214
Map3k3	1162	1617	1817	1021
Limd2	823	895	1316	560
Strada	584	859	866	575
Ccdc47	1658	2632	2391	1561
Ddx42	2743	3383	3988	2124
Ftsj3	1394	1651	1409	786
Psmc5	2924	4118	4108	2470
Smarcd2	3651	5536	4834	2952
Tcam1	88	150	60	38
Gh	310	434	604	343
Cd79b	447	682	751	524
Scn4a	646	810	512	331
2310007L24Rik	256	363	229	151
Icam2	42	60	35	13
Ern1	526	801	445	275
Snord104	43	56	48	19
Tex2	953	1606	889	578
Pecam1	428	408	312	144
Gm885	13	33	20	11
Polg2	1144	1622	3181	1617
Ddx5	22420	27364	34330	16566
Mir3064	111	187	168	85
Ccdc45	365	715	503	339
Smurf2	966	1218	1229	623
Kpna2	124	219	186	128
1810010H24Rik	379	475	501	251
Bptf	4037	4980	5202	2639
Nol11	868	1205	1175	664
Pitpnc1	4838	5497	15684	8072
Psmd12	1707	2285	2324	1251
Helz	1888	2389	2816	1372
Cacng1	74	115	158	60
Cacng4	180	213	168	60
Cacng5	190	275	16	16
Prkca	4587	6315	14490	7590
Apoh	149	160	119	64
Ccdc46	220	298	385	318
Axin2	608	1195	1345	1035
E030025P04Rik	4	10	0	0
Rgs9	1312	1855	2006	1256
1700096J18Rik	5	9	8	9
Gm11696	47	146	123	94
Gna13	2836	4039	4376	2290
Amz2	970	1515	1649	1020
LOC100503496	3	15	8	6
Slc16a6	1043	1670	1403	977
Arsg	529	850	1044	761
Wipi1	1837	2433	3018	1907
Prkar1a	6077	7090	8544	4118
Fam20a	58	145	11	24
1700012B07Rik	4	1	0	1
1700023C21Rik	0	0	0	0
Abca8b	21	15	8	1
Abca8a	33	74	6	2
Abca9	25	51	7	2
Abca6	23	32	6	8
Abca5	1542	2454	1650	942
Map2k6	486	770	732	446
Kcnj16	41	114	7	0
Kcnj2	269	656	453	421
BC006965	7	11	9	2
Sox9	2969	3169	5454	2387
2610035D17Rik	95	144	132	76
4732490B19Rik	22	63	21	41
Slc39a11	1532	2014	1866	1033
Sstr2	36	60	18	8
Cog1	1261	1889	1839	1134
D11Wsu99e	725	908	1289	618
D11Wsu47e	305	631	500	378
Cpsf4l	26	48	31	27
Cdc42ep4	2249	2751	3510	1921
Sdk2	278	283	190	109
1700092K14Rik	0	0	0	0
Mir466n	1	8	5	2
4932435O22Rik	19	43	3	1
Rpl38	1044	1122	1870	872
Ttyh2	3330	5658	4540	2904
Dnaic2	3608	5651	4517	2475
Kif19a	315	358	235	124
Btbd17	140	222	5	1
Gpr142	12	17	0	0
Gprc5c	259	475	157	99
Cd300a	225	341	47	31
Cd300lb	44	64	1	4
Cd300c	24	49	5	10
Cd300ld	68	109	7	4
AF251705	19	24	13	4
Gm11710	0	0	0	0
Gm11711	0	0	0	0
Cd300lh	10	12	2	0
Cd300e	105	247	16	7
Rab37	67	78	32	17
Cd300lf	130	218	14	4
Slc9a3r1	4701	8632	5924	3808
Nat9	508	832	1013	654
Tmem104	872	1549	1962	1113
Grin2c	7356	11188	19213	10951
Fdxr	726	1280	1149	766
Fads6	341	568	509	352
Otop2	173	260	1	2
Ush1g	136	150	6	8
Otop3	96	152	3	1
C630004H02Rik	411	487	300	193
Cdr2l	343	495	245	160
Ict1	581	796	804	474
Atp5h	643	951	877	552
Kctd2	294	517	453	305
4933422H20Rik	12	6	0	0
Mir3968	0	0	0	0
Slc16a5	123	129	55	35
Armc7	244	512	351	258
Nt5c	711	1123	1160	627
Hn1	2240	3545	2767	1935
Sumo2	47	43	63	42
Nup85	4798	6539	9645	5967
Gga3	2931	5881	7617	6052
Mrps7	2811	3588	5279	3026
Mif4gd	2643	3811	4774	3136
Slc25a19	722	1052	1183	756
Grb2	1692	2427	2809	1573
2310067B10Rik	965	1758	1334	844
Caskin2	514	930	498	392
Tsen54	217	341	406	284
Llgl2	3665	5474	6383	4260
Recql5	852	1594	1220	970
2210020M01Rik	73	96	69	43
1110017F19Rik	49	94	45	29
Sap30bp	797	1109	1526	760
Itgb4	7934	9708	13299	6638
Galk1	599	744	524	300
H3f3b	24400	20013	37056	13232
Unk	1722	2424	2971	1521
Unc13d	899	1192	1114	607
Wbp2	4362	6655	8632	5199
Trim47	1054	1619	1069	625
Trim65	751	2108	1057	874
Mrpl38	4329	6270	6106	3478
Fbf1	1102	1713	1089	754
Acox1	5520	9351	7116	5010
2310004N24Rik	559	697	1052	558
Cdk3-ps	45	133	44	36
Evpl	499	770	272	178
Srp68	2149	3153	3112	1926
Galr2	49	63	19	3
Exoc7	1149	1744	1675	1079
Foxj1	1962	3762	2810	1672
Rnf157	1323	2125	2437	1790
Fam100b	89	73	129	28
Gm7367	0	0	0	0
Qrich2	157	223	132	89
Prpsap1	1748	2604	3552	2008
Sphk1	2083	2871	1968	1062
Ube2o	1396	1770	1248	756
Aanat	8	9	7	5
Rhbdf2	1974	2610	2636	1442
Cygb	2235	2697	5023	2298
Gm11744	71	99	105	58
1810032O08Rik	300	375	451	191
Snord1c	1	2	3	1
Snord1b	0	1	2	3
Snord1a	0	0	0	0
St6galnac2	1091	1831	1973	1426
BC018473	18	23	116	47
St6galnac1	92	99	269	198
Mxra7	32	38	16	8
Jmjd6	810	1154	1019	679
1110005A03Rik	267	371	435	220
Srsf2	4743	5801	5675	2955
Mfsd11	357	744	490	371
Mgat5b	235	374	188	108
2810008D09Rik	128	204	150	104
Sec14l1	1621	2953	2726	1945
9-Sep	7090	9870	16188	8589
2900041M22Rik	18	23	12	10
Tnrc6c	2300	3267	3352	1901
Tmc6	1486	2471	1697	983
Tmc8	1382	2808	2724	1725
6030468B19Rik	245	399	673	383
Syngr2	15257	21289	26573	14576
Tk1	482	517	731	340
Afmid	361	355	564	220
Birc5	392	574	489	332
Cldn27	15	27	4	3
Tha1	178	398	221	181
Socs3	4397	6131	4501	2545
Pgs1	1425	1873	2317	1191
Dnahc17	1654	2333	1451	857
Cyth1	3468	5459	7677	4683
Usp36	1102	1463	1321	713
Timp2	1022	1545	369	172
BC100451	23	14	2	1
Lgals3bp	3842	8121	3035	2166
Cant1	1157	2374	1567	1242
C1qtnf1	348	625	150	98
Gm11747	6	5	1	0
Engase	537	1223	332	273
Rbfox3	404	572	121	47
Enpp7	33	48	3	1
Cbx2	377	856	460	472
Cbx8	358	593	660	388
Cbx4	2198	3031	3453	1796
Tbc1d16	5367	7805	10248	5736
Ccdc40	198	399	292	127
Gaa	4023	5850	7062	4139
Eif4a3	1654	2113	2182	1207
Card14	602	964	179	141
Sgsh	262	407	282	217
Slc26a11	103	131	110	67
Mir1932	8	4	8	7
A730011L01Rik	758	1517	1096	845
Nptx1	1962	2554	2368	1334
Gm11762	27	26	18	11
Rptor	2609	4019	5207	3067
A430071A18Rik	13	36	8	6
Chmp6	849	1257	1025	609
Baiap2	2601	3028	2028	972
Aatk	268	345	50	26
Mir338	0	0	0	0
Mir3065	0	0	0	0
Azi1	236	300	252	154
2410002I01Rik	258	564	354	246
1810043H04Rik	263	368	385	213
Slc38a10	7952	11040	13214	6807
2810410L24Rik	43	82	22	17
Bahcc1	637	921	450	239
Actg1	642	852	929	543
0610009L18Rik	51	55	50	32
