gene	SRR2038194	SRR2038195	SRR2038196	SRR2038197
Uxs1	415	619	858	488
Tpp2	1910	2133	2554	1175
A530098C11Rik	14	29	1	1
1700029F09Rik	332	472	398	225
Kdelc1	277	465	309	220
Bivm	270	491	303	213
Ercc5	327	589	376	285
4832428D23Rik	7	14	0	0
Gulp1	49	49	60	20
4930521E06Rik	0	0	0	0
Col3a1	658	699	237	66
Col5a2	2125	3183	3483	2016
Wdr75	766	1051	904	597
Slc40a1	196	404	53	52
Gm3852	2	2	0	0
Gm4776	51	72	1	0
Dnahc7b	155	253	53	34
Slc39a10	1398	2206	1642	863
Tmeff2	25	53	13	5
9330175M20Rik	0	1	0	0
Sdpr	29	38	11	1
Obfc2a	2392	4842	4233	2839
Myo1b	636	897	452	273
Stat4	574	966	174	146
Stat1	7914	12931	8645	5153
Gls	2335	2844	2738	1275
Nab1	1282	1537	1422	613
Tmem194b	176	303	215	151
Mfsd6	1348	2266	1416	833
Inpp1	967	1461	1448	814
Hibch	298	487	437	316
1700019D03Rik	49	96	90	64
Mstn	414	654	491	393
1700019A02Rik	1	2	1	0
Pms1	124	207	166	112
Ormdl1	203	356	373	232
Osgepl1	97	154	125	88
Asnsd1	757	1278	1354	848
Dnahc7a	24	40	4	1
Stk17b	709	843	788	376
Hecw2	179	273	13	4
Ccdc150	26	24	6	6
Gtf3c3	403	616	571	345
Pgap1	58	109	24	14
Ankrd44	360	419	211	101
Sf3b1	7750	9452	9230	4915
Coq10b	541	520	616	238
Hspd1	2924	4650	3567	2348
Hspe1	1667	2187	2199	1152
Mob4	1187	1528	1595	756
Rftn2	41	46	10	2
Mars2	157	234	212	118
Boll	13	18	16	7
Plcl1	102	114	12	2
9130227L01Rik	26	36	43	29
Hsfy2	0	0	0	0
Satb2	314	498	909	564
9130024F11Rik	39	65	57	33
BC055402	46	91	6	0
4930558J18Rik	17	32	21	18
1700066M21Rik	52	138	92	72
1110034B05Rik	178	225	173	109
9430016H08Rik	356	437	479	265
Spats2l	946	1911	1044	649
Kctd18	259	447	327	216
Sgol2	322	432	323	261
Aox1	244	368	198	113
Aox3	497	795	33	17
Aox4	813	1493	193	145
Aox3l1	338	613	59	40
Bzw1	4493	5536	5103	2542
Clk1	4101	4062	5885	2385
Ppil3	255	387	335	231
Nif3l1	361	543	457	297
Orc2	459	759	561	366
Fam126b	924	1132	1733	800
Ndufb3	772	1062	1208	664
Gm20257	36	80	46	23
